Sample_name	Group	Batch	Block
DMSO_Control_1	DMSO_Control	1	1
DMSO_Control_2	DMSO_Control	1	1
DMSO_Control_3	DMSO_Control	1	1
VCR_Control_1	VCR_Control	1	1
VCR_Control_2	VCR_Control	1	1
VCR_Control_3	VCR_Control	1	1
Pool_1	Pool	1	1
DMSO_PCB_1	DMSO_PCB	2	1
DMSO_PCB_2	DMSO_PCB	2	1
DMSO_PCB_3	DMSO_PCB	2	1
VCR_PCB_1	VCR_PCB	2	1
VCR_PCB_2	VCR_PCB	2	1
VCR_PCB_3	VCR_PCB	2	1
Pool_2	Pool	2	1
