Sample_name	Group	Batch	Block
VCR_1	VCR	1	1
VCR_2	VCR	1	1
VCR_3	VCR	1	1
DMSO_1	DMSO	1	1
DMSO_2	DMSO	1	1
DMSO_3	DMSO	1	1
