MaxQuant_name	Sample_name	Type	Group	Batch	Reference	Order
Reporter_intensity_corrected_4_Phospho2	MTG1_T_3	Phospho	MTG1_T	2	N	70
Reporter_intensity_corrected_5_Phospho2	MTG1_T_4	Phospho	MTG1_T	2	N	71
Reporter_intensity_corrected_6_Phospho2	PT462_V_1	Phospho	PT462_V	2	N	72
Reporter_intensity_corrected_7_Phospho2	PT462_V_2	Phospho	PT462_V	2	N	73
Reporter_intensity_corrected_8_Phospho2	PT462_T_1	Phospho	PT462_T	2	N	74
Reporter_intensity_corrected_9_Phospho2	PT462_T_2	Phospho	PT462_T	2	N	75
Reporter_intensity_corrected_10_Phospho2	PT462_T_3	Phospho	PT462_T	2	N	76
Reporter_intensity_corrected_11_Phospho2	Pool_2	Phospho	Pool	2	Y	77
Reporter_intensity_corrected_1_Phospho3	3_1	Phospho	3	3	N	78
Reporter_intensity_corrected_2_Phospho3	3_2	Phospho	3	3	N	79
Reporter_intensity_corrected_3_Phospho3	3_3	Phospho	3	3	N	80
Reporter_intensity_corrected_4_Phospho3	3_4	Phospho	3	3	N	81
Reporter_intensity_corrected_5_Phospho3	3_5	Phospho	3	3	N	82
Reporter_intensity_corrected_6_Phospho3	3_6	Phospho	3	3	N	83
Reporter_intensity_corrected_7_Phospho3	3_7	Phospho	3	3	N	84
Reporter_intensity_corrected_8_Phospho3	3_8	Phospho	3	3	N	85
Reporter_intensity_corrected_9_Phospho3	3_9	Phospho	3	3	N	86
Reporter_intensity_corrected_10_Phospho3	3_10	Phospho	3	3	N	87
Reporter_intensity_corrected_11_Phospho3	3_11	Phospho	3	3	Y	88
Reporter_intensity_corrected_1_Phospho4	PT471_V_1	Phospho	PT471_V	4	N	89
Reporter_intensity_corrected_2_Phospho4	PT471_T_1	Phospho	PT471_T	4	N	90
Reporter_intensity_corrected_3_Phospho4	PT471_T_2	Phospho	PT471_T	4	N	91
Reporter_intensity_corrected_4_Phospho4	PT471_T_3	Phospho	PT471_T	4	N	92
Reporter_intensity_corrected_5_Phospho4	PT471_T_4	Phospho	PT471_T	4	N	93
Reporter_intensity_corrected_6_Phospho4	MTG61_V_1	Phospho	MTG61_V	4	N	94
Reporter_intensity_corrected_7_Phospho4	MTG61_V_2	Phospho	MTG61_V	4	N	95
Reporter_intensity_corrected_8_Phospho4	MTG61_T_1	Phospho	MTG61_T	4	N	96
Reporter_intensity_corrected_9_Phospho4	MTG61_T_2	Phospho	MTG61_T	4	N	97
Reporter_intensity_corrected_10_Phospho4	MTG61_T_3	Phospho	MTG61_T	4	N	98
Reporter_intensity_corrected_11_Phospho4	Pool_3	Phospho	Pool	4	Y	99
Reporter_intensity_corrected_1_Phospho5	AG_V_1	Phospho	AG_V	5	N	100
Reporter_intensity_corrected_2_Phospho5	AG_V_2	Phospho	AG_V	5	N	101
Reporter_intensity_corrected_3_Phospho5	AG_T_1	Phospho	AG_T	5	N	102
Reporter_intensity_corrected_4_Phospho5	AG_T_2	Phospho	AG_T	5	N	103
Reporter_intensity_corrected_5_Phospho5	MTG43_V_1	Phospho	MTG43_V	5	N	104
Reporter_intensity_corrected_6_Phospho5	MTG43_V_2	Phospho	MTG43_V	5	N	105
Reporter_intensity_corrected_7_Phospho5	MTG43_T_1	Phospho	MTG43_T	5	N	106
Reporter_intensity_corrected_8_Phospho5	MTG43_T_2	Phospho	MTG43_T	5	N	107
Reporter_intensity_corrected_9_Phospho5	PT476_V_1	Phospho	PT476_V	5	N	108
Reporter_intensity_corrected_10_Phospho5	PT476_T_1	Phospho	PT476_T	5	N	109
Reporter_intensity_corrected_11_Phospho5	Pool_4	Phospho	Pool	5	Y	110
